c0,c1
34.1794,-118.4312
34.2084,-118.5273
34.1723,-118.5447
34.1794,-118.3952
34.2011,-118.5397
34.1939,-118.5298
34.1514,-118.4515
34.1939,-118.5055
33.9747,-118.2783
34.2012,-118.4837
34.2012,-118.4837
34.1939,-118.4967
34.1976,-118.5011
34.212,-118.5154
34.1903,-118.48
34.0905,-118.2498
34.1775,-118.536
34.1002,-118.2918
34.1087,-118.1976
34.1092,-118.2714
34.0893,-118.25
34.1867,-118.4749
34.1181,-118.1894
34.137,-118.2095
34.1079,-118.2666
34.1265,-118.2628
34.095,-118.2275
33.9746,-118.3078
34.12,-118.1893
34.1096,-118.2383
34.2135,-118.4511
34.2996,-118.4522
34.2283,-118.4654
34.2215,-118.4553
34.2179,-118.4659
34.218,-118.4488
34.2301,-118.4633
33.9745,-118.3309
34.2428,-118.4675
34.2939,-118.4156
34.0712,-118.3004
34.0559,-118.2842
34.0617,-118.3128
33.9859,-118.3089
34.0636,-118.3004
34.201,-118.6059
34.2119,-118.5929
34.2197,-118.606
34.1612,-118.5721
34.1679,-118.5974
34.2047,-118.5906
34.2097,-118.6322
34.2315,-118.6029
34.2083,-118.5967
34.2049,-118.6547
34.172,-118.6058
34.22,-118.5885
33.9925,-118.272
34.0355,-118.4321
34.0447,-118.454
34.0605,-118.4193
34.0444,-118.461
34.0669,-118.4288
34.1939,-118.4431
34.1505,-118.4458
34.2072,-118.4312
34.1321,-118.4621
34.1836,-118.4531
34.152,-118.4552
34.1867,-118.4487
34.1781,-118.4179
34.1667,-118.4553
34.2012,-118.4662
34.1939,-118.4836
34.1184,-118.1722
34.0982,-118.2918
34.1155,-118.1843
34.1374,-118.2941
33.9973,-118.4464
33.9538,-118.4122
34.0116,-118.4239
34.2006,-118.3965
34.2012,-118.4035
34.0971,-118.3267
34.104,-118.3297
34.098,-118.3295
34.0836,-118.3486
34.0344,-118.3501
34.0708,-118.3563
34.077,-118.4212
34.1264,-118.4034
34.0366,-118.4348
34.1505,-118.4458
34.2085,-118.4488
34.2049,-118.4313
34.1867,-118.4389
34.1611,-118.4694
34.1611,-118.4694
34.2012,-118.4425
34.1504,-118.4225
34.1649,-118.4312
34.1877,-118.4487
34.1877,-118.4487
34.1877,-118.4487
34.2012,-118.4793
34.1775,-118.536
34.2648,-118.5023
34.2282,-118.5798
34.2484,-118.4937
34.2575,-118.4892
34.2445,-118.5798
34.2663,-118.5552
34.2429,-118.4909
33.9372,-118.2312
33.941,-118.2516
33.9407,-118.239
33.9348,-118.2781
33.9456,-118.2695
33.9315,-118.239
33.9555,-118.2871
33.931,-118.2783
33.9431,-118.2296
33.9274,-118.2782
34.3129,-118.4373
34.2193,-118.4564
34.2354,-118.4495
34.2356,-118.473
34.2152,-118.4531
34.2666,-118.443
34.233,-118.4553
34.0559,-118.2842
34.0617,-118.3166
34.0518,-118.2842
34.0641,-118.3716
34.0369,-118.3436
34.0835,-118.3266
34.0783,-118.3408
34.0392,-118.3802
34.0535,-118.4925
34.0474,-118.5258
34.0573,-118.4146
34.1478,-118.4312
34.2049,-118.4313
34.1309,-118.4425
34.1601,-118.4696
34.2012,-118.4377
34.153,-118.4312
34.1939,-118.4662
34.1649,-118.4225
34.1866,-118.536
34.1975,-118.5186
34.2084,-118.536
34.2793,-118.5021
34.2207,-118.5361
34.2857,-118.5048
34.2573,-118.5536
33.9483,-118.2317
33.9601,-118.2739
33.9327,-118.2351
33.931,-118.2542
33.9457,-118.2435
33.9492,-118.2781
33.931,-118.287
33.941,-118.2695
34.2808,-118.4532
34.3185,-118.4008
34.2879,-118.4528
34.3022,-118.4362
34.2374,-118.4676
34.251,-118.4355
34.261,-118.4698
34.2215,-118.4553
34.2416,-118.4479
34.2179,-118.4659
34.2179,-118.4659
34.2247,-118.4677
