c0,c1
33.9389,-118.2338
33.9438,-118.2695
33.9502,-118.2651
33.9283,-118.2586
33.9323,-118.2502
33.9348,-118.25
33.9492,-118.2869
33.931,-118.2848
33.9389,-118.2462
33.9483,-118.276
34.2282,-118.4536
34.2258,-118.4691
34.2199,-118.413
34.2537,-118.4718
34.2595,-118.4685
34.2247,-118.4553
34.2318,-118.4516
34.2372,-118.4209
34.2594,-118.4398
34.2215,-118.4634
34.3034,-118.4271
34.228,-118.4365
34.2272,-118.4248
34.3194,-118.454
34.2215,-118.4553
34.2265,-118.4536
34.2376,-118.4481
34.218,-118.4688
34.0728,-118.3004
34.0473,-118.2976
34.0691,-118.2929
34.0581,-118.3101
34.0745,-118.2942
34.04,-118.3043
34.0728,-118.2975
34.0755,-118.2868
34.0617,-118.3031
34.0581,-118.3132
34.0508,-118.2891
34.0745,-118.2929
34.2104,-118.6577
34.1848,-118.5674
34.1602,-118.5819
34.2197,-118.6031
34.1884,-118.5884
34.201,-118.6044
34.0321,-118.2499
34.201,-118.599
34.2194,-118.6255
34.1683,-118.5787
34.23,-118.5951
33.9974,-118.2783
34.2213,-118.4874
33.9998,-118.2696
33.9934,-118.2701
34.1667,-118.5243
34.2138,-118.5383
34.1749,-118.5535
34.1745,-118.5384
34.2084,-118.5492
34.2164,-118.5334
34.1957,-118.5373
34.0798,-118.2602
33.9621,-118.2871
34.0039,-118.2477
34.0132,-118.2603
33.9877,-118.4373
34.2523,-118.2886
34.2741,-118.3426
34.2486,-118.5216
34.2428,-118.5336
34.2357,-118.4895
34.2834,-118.492
34.2264,-118.5383
34.2574,-118.4783
33.9513,-118.254
33.9449,-118.2332
33.9369,-118.2443
34.1309,-118.3919
34.1831,-118.4008
34.1695,-118.3659
34.1478,-118.379
34.1886,-118.3801
34.2067,-118.3649
34.1976,-118.4225
34.1867,-118.3681
34.174,-118.3769
34.1576,-118.4008
34.194,-118.4205
34.1631,-118.3593
34.14,-118.3738
34.1894,-118.3847
34.1669,-118.4019
34.1922,-118.3659
34.1619,-118.3728
34.1722,-118.3719
34.1504,-118.3681
34.1776,-118.3703
34.145,-118.3703
34.194,-118.4181
34.1976,-118.4159
34.1414,-118.3686
34.194,-118.3877
34.1713,-118.3795
34.1399,-118.3789
34.1649,-118.375
34.1794,-118.3821
34.1649,-118.3985
34.1903,-118.3703
34.1885,-118.3746
34.1419,-118.3609
34.1613,-118.4052
34.1504,-118.3823
34.1976,-118.4181
34.165,-118.356
34.1649,-118.3642
34.1504,-118.3965
34.1794,-118.3692
34.1867,-118.3943
34.194,-118.3889
34.1395,-118.405
34.1959,-118.3954
34.1412,-118.3722
34.1649,-118.3604
34.167,-118.3789
34.1382,-118.3602
34.1594,-118.3965
34.194,-118.4163
34.1831,-118.3594
34.1649,-118.3724
34.1295,-118.3794
34.1684,-118.3851
34.1477,-118.3822
34.1722,-118.3844
34.174,-118.3801
34.1903,-118.3768
34.1531,-118.3703
34.1594,-118.3965
34.1649,-118.3621
34.1976,-118.4214
34.1687,-118.4012
34.1811,-118.3615
34.1649,-118.3851
34.1557,-118.367
34.1522,-118.3571
34.1794,-118.3692
34.1922,-118.4008
34.2422,-118.4187
34.2522,-118.3053
34.2121,-118.3703
34.2772,-118.3545
34.2844,-118.4114
34.2217,-118.3965
34.2643,-118.3546
34.2299,-118.403
34.2249,-118.3657
34.2777,-118.3581
34.2735,-118.3866
34.2535,-118.4177
34.2176,-118.3863
34.2753,-118.4095
34.2177,-118.3669
34.2579,-118.2869
34.2499,-118.4227
34.2539,-118.4153
34.259,-118.4174
34.2704,-118.4181
34.2575,-118.4292
34.2854,-118.3973
34.2085,-118.3878
34.2175,-118.3561
34.2756,-118.377
34.2502,-118.2873
34.2753,-118.4095
34.2828,-118.3802
34.2647,-118.4019
34.2459,-118.4185
34.2208,-118.5317
34.2287,-118.5324
34.2306,-118.5885
34.2866,-118.5754
34.2929,-118.5451
34.2238,-118.4777
34.266,-118.5023
34.2299,-118.5754
34.2282,-118.5907
34.2504,-118.5199
34.2229,-118.5405
34.2573,-118.573
34.2285,-118.507
34.2468,-118.5233
34.25,-118.5798
34.2763,-118.4797
34.2647,-118.4935
34.2847,-118.4864
34.2331,-118.5623
34.2283,-118.5492
34.2432,-118.5232
34.2267,-118.5801
34.2821,-118.511
34.2572,-118.5973
34.2863,-118.4931
34.2531,-118.5155
34.2637,-118.5154
34.2802,-118.5092
34.2555,-118.5323
34.2308,-118.5324
34.2221,-118.5405
34.203,-118.5197
34.1749,-118.5344
34.1903,-118.4836
34.2031,-118.5623
34.1406,-118.4727
34.2084,-118.5077
34.1993,-118.4978
34.1435,-118.498
34.1939,-118.4924
34.1749,-118.5344
34.1939,-118.4793
34.1839,-118.52
34.1623,-118.4814
34.1903,-118.4836
34.1798,-118.5076
34.1514,-118.4756
34.1417,-118.486
34.1686,-118.5203
34.1318,-118.4776
34.1966,-118.4771
34.1713,-118.5273
34.1939,-118.5491
34.1494,-118.495
34.2011,-118.5186
34.2084,-118.5099
34.1975,-118.5502
34.1739,-118.5141
34.1957,-118.4749
34.1957,-118.4749
34.1579,-118.4945
34.2142,-118.5546
34.1867,-118.4836
34.1749,-118.5308
34.1939,-118.4902
34.1739,-118.5141
34.1739,-118.5141
34.1739,-118.5141
34.2067,-118.4749
34.1756,-118.5167
34.1892,-118.4749
34.2065,-118.5284
34.2128,-118.5579
34.1637,-118.5077
34.1802,-118.536
34.1756,-118.5202
34.1558,-118.4697
34.1723,-118.5273
34.18,-118.5386
34.1686,-118.5203
34.2157,-118.5032
34.1888,-118.4837
34.1673,-118.4991
34.1853,-118.5333
34.2102,-118.5361
34.1686,-118.5203
34.2084,-118.5011
34.2067,-118.4749
34.1903,-118.5335
34.1976,-118.4837
34.1686,-118.522
34.1876,-118.5573
34.1629,-118.5202
34.1658,-118.5621
34.1499,-118.5634
34.1629,-118.5202
34.1636,-118.522
34.1579,-118.4945
34.2157,-118.5186
34.2048,-118.5337
34.2002,-118.5492
34.1849,-118.5488
34.1606,-118.5076
34.1891,-118.5515
34.1749,-118.5344
34.2157,-118.4793
34.172,-118.5244
34.2048,-118.5337
34.1579,-118.4945
34.2084,-118.5535
34.1645,-118.5244
34.1803,-118.5535
34.2012,-118.5099
34.171,-118.5384
34.1625,-118.5186
34.1417,-118.486
34.2057,-118.5393
34.1645,-118.5244
34.2048,-118.5382
34.2066,-118.5328
34.1807,-118.5404
34.1922,-118.4924
34.1667,-118.512
34.1975,-118.5623
34.1745,-118.5384
34.2001,-118.5596
34.2157,-118.5345
34.1326,-118.4827
34.1866,-118.5491
34.2157,-118.5404
34.1903,-118.4836
34.1993,-118.5623
34.1728,-118.56
34.1671,-118.5011
34.1443,-118.5643
34.2066,-118.5524
34.1868,-118.5246
34.1667,-118.5243
34.1962,-118.5206
34.1745,-118.5417
34.2148,-118.5385
34.203,-118.5024
34.1745,-118.5426
34.1686,-118.5186
34.1903,-118.5225
34.2031,-118.5623
34.1727,-118.5535
34.2012,-118.5342
34.1939,-118.5386
34.1957,-118.4749
34.171,-118.5384
34.1749,-118.5308
34.2138,-118.5492
34.1552,-118.4749
34.1916,-118.5261
34.165,-118.4993
34.1975,-118.5555
34.1906,-118.5535
34.1884,-118.4902
34.18,-118.5386
34.1987,-118.5014
34.2029,-118.5557
34.1903,-118.5335
34.2139,-118.4815
34.2121,-118.504
34.1606,-118.5574
34.1867,-118.4948
34.1691,-118.5512
34.1762,-118.5152
34.1906,-118.5535
34.2084,-118.5011
34.1975,-118.5131
34.2139,-118.5295
34.2029,-118.5557
34.1907,-118.556
34.1709,-118.5291
34.1698,-118.5386
34.2012,-118.5348
34.1867,-118.4948
34.1609,-118.5098
34.1512,-118.5572
34.1841,-118.5485
34.2193,-118.5514
34.2212,-118.5027
34.1902,-118.5469
34.1897,-118.5498
34.1842,-118.5603
34.1939,-118.5273
34.1658,-118.5621
34.1749,-118.5344
34.212,-118.5448
34.1686,-118.5186
34.1903,-118.5225
34.201,-118.5251
34.0438,-118.2841
34.069,-118.2868
34.069,-118.2868
34.0526,-118.3021
34.0443,-118.2885
34.0424,-118.3043
34.0728,-118.2994
34.0418,-118.3177
34.0577,-118.2971
34.0672,-118.3104
34.0577,-118.2998
34.0491,-118.301
34.0672,-118.2992
34.0728,-118.2965
34.0436,-118.313
34.0381,-118.3148
34.0727,-118.2929
34.0618,-118.2979
34.0545,-118.2916
34.0674,-118.2941
34.0597,-118.3091
34.0577,-118.3066
34.0709,-118.2941
34.0738,-118.3017
34.0618,-118.2941
34.0691,-118.2967
34.0618,-118.3004
34.0654,-118.3054
34.0637,-118.2916
34.0731,-118.3102
34.069,-118.3104
34.0463,-118.3041
34.0577,-118.3066
34.0785,-118.3157
34.0754,-118.3004
34.0799,-118.3017
34.0463,-118.2864
34.0491,-118.2916
34.069,-118.3041
34.0472,-118.2987
34.069,-118.3004
34.0491,-118.2853
34.0654,-118.2916
34.0737,-118.3091
34.0617,-118.3091
34.0767,-118.2844
34.0578,-118.2941
34.0538,-118.2979
34.0618,-118.2916
34.0509,-118.2979
34.0691,-118.2979
34.0617,-118.3091
34.0728,-118.2994
34.0618,-118.2992
34.0618,-118.2992
34.0598,-118.2998
34.0776,-118.3069
34.0608,-118.286
34.0618,-118.2941
34.0578,-118.2891
34.0578,-118.2891
34.0738,-118.3004
34.0728,-118.2965
34.0559,-118.2954
34.0472,-118.309
34.0822,-118.3034
34.0508,-118.2907
34.0598,-118.2998
34.0473,-118.2936
34.0737,-118.3079
34.0454,-118.3116
34.067,-118.2899
34.0728,-118.2965
34.0472,-118.309
34.0654,-118.3116
34.0598,-118.2941
34.0577,-118.2998
34.0799,-118.3046
34.0672,-118.2992
34.079,-118.3004
34.0607,-118.3078
34.0491,-118.3041
34.0427,-118.2916
34.0817,-118.3135
34.0636,-118.3054
34.0491,-118.3041
34.0424,-118.3043
34.0618,-118.3004
34.0745,-118.2929
34.0608,-118.286
34.0418,-118.3101
34.0735,-118.289
34.0537,-118.2891
34.0568,-118.2916
34.0427,-118.309
34.0691,-118.2967
34.0559,-118.3091
34.0446,-118.3003
34.0577,-118.3078
34.0672,-118.3098
34.0597,-118.3112
34.0597,-118.3112
34.0473,-118.2865
34.079,-118.3004
34.0598,-118.2954
34.221,-118.5989
34.1938,-118.6059
34.1606,-118.5884
34.1665,-118.5859
34.2102,-118.5885
34.1739,-118.619
34.1974,-118.571
34.221,-118.604
34.1912,-118.5884
34.2065,-118.5906
34.1847,-118.6103
34.2246,-118.5994
34.2083,-118.5975
34.2284,-118.6039
34.1847,-118.5888
34.1974,-118.6044
34.2083,-118.5776
34.2284,-118.6039
34.2066,-118.6123
34.212,-118.6029
34.1566,-118.5963
34.2071,-118.5739
34.1701,-118.6233
34.1744,-118.6016
34.1907,-118.6234
34.2084,-118.571
34.2001,-118.6278
34.1632,-118.5355
34.1806,-118.5229
34.1667,-118.5243
34.201,-118.5513
34.1724,-118.536
34.1903,-118.5284
34.1667,-118.5308
34.167,-118.5286
34.2075,-118.5422
34.2039,-118.4815
34.1903,-118.5234
34.1561,-118.4814
34.1993,-118.5317
34.1573,-118.4901
34.2012,-118.5317
34.1903,-118.4902
34.212,-118.5361
34.2075,-118.5057
34.1767,-118.5166
34.1902,-118.5448
34.2139,-118.5317
34.1506,-118.4955
34.2011,-118.547
34.2084,-118.536
34.2085,-118.4771
34.2175,-118.5415
34.1686,-118.5203
34.1904,-118.5
34.2176,-118.5186
34.1939,-118.4836
34.2049,-118.4749
34.1409,-118.4787
34.1607,-118.517
34.2011,-118.547
34.1911,-118.5011
34.2029,-118.5513
34.2085,-118.4749
34.1379,-118.5624
34.1982,-118.5555
34.1632,-118.5375
34.1806,-118.5428
34.1745,-118.5384
34.1686,-118.5186
34.2012,-118.4859
34.2176,-118.5343
34.2084,-118.536
34.2067,-118.4739
34.1843,-118.5565
34.1606,-118.5076
34.1724,-118.536
34.1947,-118.5603
34.1686,-118.5203
34.1365,-118.5034
34.1713,-118.5273
34.1627,-118.5226
34.2121,-118.5099
34.1939,-118.5373
34.1573,-118.4901
34.1727,-118.5557
34.1338,-118.4742
34.2175,-118.5361
34.1887,-118.536
34.1724,-118.5308
34.2029,-118.5557
34.167,-118.5286
34.1602,-118.5054
34.1749,-118.5308
34.1434,-118.533
34.201,-118.5492
34.2012,-118.4771
34.1916,-118.4934
34.2193,-118.5492
34.2066,-118.5246
34.1866,-118.5011
34.203,-118.5524
34.1091,-118.2831
34.1275,-118.1872
34.1199,-118.2588
34.1174,-118.2103
34.0878,-118.2151
34.0924,-118.2544
34.1175,-118.2293
34.0806,-118.233
34.1081,-118.3078
34.1052,-118.2376
34.1137,-118.2068
34.1,-118.2463
34.1374,-118.1897
34.1241,-118.2208
34.1179,-118.1835
34.1333,-118.2055
34.0992,-118.2204
34.1232,-118.2322
34.0915,-118.2281
34.1154,-118.1809
34.1094,-118.2053
34.0929,-118.2801
34.0867,-118.2171
34.0936,-118.2809
34.1136,-118.1862
34.0893,-118.234
34.1106,-118.235
34.0778,-118.2567
34.133,-118.2017
34.087,-118.2199
34.0988,-118.248
34.1139,-118.277
34.1275,-118.2179
34.1202,-118.1766
34.1085,-118.2608
34.0858,-118.2183
34.1179,-118.1909
34.1076,-118.2646
34.0981,-118.2054
34.0597,-118.3112
34.0473,-118.2947
34.04,-118.3062
34.0577,-118.2869
34.0559,-118.2965
34.069,-118.3116
34.0728,-118.3004
34.0453,-118.2864
34.0636,-118.2954
34.0608,-118.2954
34.0608,-118.2954
34.0691,-118.2967
34.0509,-118.2937
34.0559,-118.3112
34.0753,-118.2994
34.0763,-118.3114
34.0536,-118.3112
