c0,c1
34.0633,-118.229
34.0633,-118.229
34.2321,-118.3964
34.0467,-118.252
34.0419,-118.2485
34.212,-118.5754
34.212,-118.5754
34.0437,-118.2652
34.0412,-118.2436
33.9951,-118.3068
34.0382,-118.2665
34.0382,-118.2665
34.0371,-118.2551
34.0591,-118.2412
34.0481,-118.2507
34.0454,-118.2466
34.0482,-118.2472
34.0416,-118.2584
34.0416,-118.2584
34.0336,-118.2626
34.0604,-118.2393
34.0426,-118.2528
34.0557,-118.2436
34.0522,-118.2434
34.0435,-118.2471
34.0435,-118.2471
34.0623,-118.2383
34.0589,-118.2412
34.0372,-118.2418
34.0474,-118.2496
34.0451,-118.2604
34.0632,-118.2408
34.046,-118.2509
34.0474,-118.2496
34.0481,-118.2507
34.0027,-118.2856
33.9737,-118.3286
33.9747,-118.2695
33.9727,-118.2827
33.9942,-118.2856
33.9776,-118.3294
34.1095,-118.256
34.1144,-118.1849
33.9827,-118.344
33.9851,-118.2856
34.0981,-118.2054
34.0028,-118.2842
33.977,-118.309
33.977,-118.309
34.121,-118.2271
33.9708,-118.2842
33.9906,-118.3067
33.9953,-118.2871
33.9827,-118.3352
33.9718,-118.2813
33.9933,-118.3113
33.9815,-118.2937
34.0028,-118.3067
34.1188,-118.2365
34.0002,-118.2814
34.0002,-118.2814
34.0953,-118.2279
34.0037,-118.3051
34.0037,-118.3051
33.9688,-118.2856
33.9737,-118.2813
33.9933,-118.2856
34.1186,-118.2404
34.1186,-118.2404
33.9794,-118.3177
33.9794,-118.3177
33.9643,-118.2893
34.1163,-118.1804
33.9694,-118.2608
33.9694,-118.2608
33.9824,-118.3046
33.9875,-118.2915
33.9992,-118.2827
33.9806,-118.3352
33.9601,-118.2739
34.1023,-118.2371
33.9814,-118.2958
33.9627,-118.3068
33.9709,-118.2739
33.9709,-118.2739
33.9709,-118.2739
33.9851,-118.3148
33.9655,-118.2856
33.9763,-118.2918
33.9739,-118.2586
33.9628,-118.2959
33.9626,-118.2827
34.0027,-118.3002
33.9933,-118.3149
33.9647,-118.2673
34.1197,-118.1982
33.9628,-118.2959
33.9812,-118.2838
33.9965,-118.2842
33.9875,-118.3046
33.9721,-118.2575
33.9643,-118.2856
33.9643,-118.2856
33.9643,-118.2856
33.9875,-118.2915
33.9519,-118.309
33.9924,-118.3024
33.9633,-118.2761
34.1242,-118.1826
34.1123,-118.2775
34.0947,-118.2828
33.9951,-118.2915
33.977,-118.3324
33.9679,-118.2809
34.1353,-118.211
34.1211,-118.2223
34.1211,-118.2223
33.9685,-118.2608
34.1115,-118.1915
34.1115,-118.1915
33.9679,-118.2739
33.9785,-118.309
33.9873,-118.3245
33.9953,-118.2871
33.9664,-118.3003
34.0885,-118.2474
34.1253,-118.2036
33.9644,-118.2827
33.9644,-118.2827
33.9737,-118.2739
33.9737,-118.2739
33.9737,-118.2739
34.106,-118.1948
34.0907,-118.2121
34.0907,-118.2121
33.9637,-118.2916
33.9637,-118.2916
33.9837,-118.3206
33.9814,-118.3024
33.9746,-118.3112
33.9673,-118.3003
33.9859,-118.3024
33.9969,-118.3138
33.9974,-118.2827
33.9974,-118.2827
33.9637,-118.2916
33.9611,-118.2575
33.9611,-118.2575
33.9746,-118.3265
33.9669,-118.2827
34.0006,-118.2871
33.977,-118.3046
33.9827,-118.3352
34.0936,-118.2298
34.1223,-118.2109
34.1223,-118.2109
33.9669,-118.2794
33.9931,-118.3333
33.9924,-118.2827
34.1018,-118.2933
33.9712,-118.263
33.9942,-118.2842
33.9478,-118.3046
33.9747,-118.286
33.9747,-118.286
33.9876,-118.3068
33.9737,-118.2813
33.9811,-118.287
33.9543,-118.3003
33.995,-118.3356
33.9933,-118.3113
33.9679,-118.2739
34.0037,-118.3149
33.9748,-118.2652
33.9873,-118.3225
33.9679,-118.2827
33.9679,-118.2827
33.9818,-118.3279
33.9761,-118.286
33.9761,-118.286
34.0037,-118.3149
33.9645,-118.2739
33.9645,-118.2739
33.9883,-118.2849
33.9708,-118.2783
33.9891,-118.3139
34.0037,-118.3067
34.1194,-118.1967
33.9958,-118.281
34.0982,-118.2918
34.1004,-118.3005
33.9892,-118.3089
33.997,-118.3113
33.997,-118.3113
33.9627,-118.309
33.9627,-118.309
34.1004,-118.3005
33.962,-118.2673
33.9854,-118.3279
33.9646,-118.309
33.96,-118.316
33.96,-118.316
33.96,-118.316
33.96,-118.316
33.96,-118.316
33.9754,-118.3003
33.9814,-118.2783
33.9754,-118.2739
33.9842,-118.2783
34.0039,-118.2717
34.0169,-118.2484
33.9892,-118.2761
33.9942,-118.2432
34.0128,-118.2485
33.9857,-118.2652
34.0216,-118.2638
34.0216,-118.2638
33.9916,-118.2579
34.0207,-118.2594
33.9975,-118.274
34.0029,-118.2783
34.1543,-118.4691
34.0075,-118.2618
34.0132,-118.2603
34.1288,-118.1912
34.0132,-118.2603
34.1232,-118.216
34.0132,-118.2603
34.1086,-118.1898
34.1156,-118.174
