c0,c1
34.2009,-118.6369
33.9651,-118.2754
34.0467,-118.2427
34.0423,-118.2452
34.0688,-118.2394
34.0433,-118.2504
34.0446,-118.249
34.0446,-118.249
34.0482,-118.2472
34.045,-118.264
34.0449,-118.2528
34.045,-118.264
34.0472,-118.2371
34.1649,-118.3774
34.0446,-118.245
34.0446,-118.245
34.0426,-118.2412
34.0544,-118.2378
34.0312,-118.2615
34.0371,-118.2551
34.0481,-118.2507
34.0402,-118.2633
34.0405,-118.2604
34.0378,-118.2561
34.0419,-118.2485
34.0445,-118.2523
34.0446,-118.249
34.0446,-118.245
34.0407,-118.2468
34.046,-118.2509
34.0466,-118.2427
34.1903,-118.5262
34.0571,-118.2509
34.0364,-118.2603
34.0532,-118.2425
34.0582,-118.2387
34.2445,-118.6148
34.051,-118.2445
34.0515,-118.2424
34.0417,-118.2443
34.0383,-118.254
34.0455,-118.2381
34.0405,-118.2567
34.0446,-118.249
34.0383,-118.2633
34.0382,-118.2384
34.0423,-118.2452
34.0363,-118.2619
34.0333,-118.262
34.0717,-118.2493
34.0489,-118.2453
33.9669,-118.4566
34.2301,-118.4698
34.3021,-118.4467
34.2196,-118.6292
34.0495,-118.2494
34.0391,-118.2581
34.0673,-118.2354
34.045,-118.2435
34.0474,-118.2496
34.0423,-118.2452
34.0446,-118.245
34.0446,-118.249
34.1734,-118.536
34.035,-118.2607
34.0405,-118.2604
34.0668,-118.2359
34.0649,-118.2289
34.0419,-118.2485
34.0617,-118.2469
34.0453,-118.2499
34.0391,-118.2659
34.0435,-118.2427
34.0488,-118.2483
34.0395,-118.2656
34.0515,-118.2424
34.0363,-118.2573
34.0435,-118.2471
34.0431,-118.2536
34.0504,-118.2409
34.0446,-118.249
34.0412,-118.2436
33.9564,-118.1586
34.051,-118.248
34.0372,-118.2654
34.0533,-118.2379
34.0423,-118.2452
34.0187,-118.4069
34.0502,-118.254
34.0658,-118.2296
34.0423,-118.2666
34.0499,-118.2614
34.0384,-118.2305
34.0481,-118.2507
34.0423,-118.2666
34.0372,-118.2654
34.1142,-118.1932
34.0446,-118.245
34.0405,-118.2508
34.0437,-118.2617
34.0446,-118.249
34.0525,-118.2416
34.0446,-118.249
34.0495,-118.2494
34.0488,-118.2483
34.0387,-118.2439
34.0446,-118.249
34.0632,-118.2408
34.0038,-118.2827
34.0009,-118.4376
34.0695,-118.2273
34.0467,-118.247
34.0433,-118.2504
34.045,-118.264
34.048,-118.2577
34.0419,-118.2485
34.0474,-118.2496
34.0571,-118.2509
34.0591,-118.2412
34.0419,-118.2485
34.041,-118.2687
34.0346,-118.2323
34.0359,-118.2344
34.0451,-118.2604
34.0479,-118.2612
34.1866,-118.5011
34.2011,-118.536
34.1217,-118.2406
33.9708,-118.2783
34.0551,-118.2545
34.0141,-118.4288
33.9942,-118.4114
34.0417,-118.2398
34.2963,-118.4624
34.0389,-118.2643
34.2319,-118.4676
34.0489,-118.2453
34.0449,-118.2458
34.0683,-118.245
34.0683,-118.245
34.0449,-118.2458
34.0632,-118.2408
34.0571,-118.2509
34.0503,-118.2433
34.0458,-118.2614
34.0405,-118.2567
34.0578,-118.252
34.0312,-118.2615
34.0434,-118.2542
34.0481,-118.2507
34.039,-118.24
34.0474,-118.2496
34.0459,-118.2351
34.0415,-118.2654
34.0458,-118.2614
34.0495,-118.2529
34.0527,-118.2314
34.037,-118.2583
34.0423,-118.2452
33.989,-118.3294
34.048,-118.2577
34.248,-118.2886
34.0437,-118.2652
34.2722,-118.4417
34.0438,-118.2547
34.0502,-118.254
34.0515,-118.2424
34.0407,-118.2541
34.0438,-118.2547
34.0442,-118.2439
34.0423,-118.2666
34.0565,-118.2445
34.046,-118.2509
34.0491,-118.2414
34.0617,-118.2469
34.0533,-118.2478
34.0563,-118.2374
34.0405,-118.2567
34.0317,-118.2641
34.0652,-118.2306
34.0446,-118.249
34.0446,-118.249
34.0535,-118.256
34.2012,-118.4793
34.1939,-118.4924
34.1202,-118.1825
33.9931,-118.3308
34.2121,-118.3692
34.0488,-118.2553
34.0446,-118.249
34.312,-118.4415
34.3005,-118.4744
34.0503,-118.2433
34.2467,-118.4479
34.0525,-118.2416
34.0408,-118.2644
34.0473,-118.2462
34.0415,-118.2654
34.0357,-118.2663
34.0544,-118.2466
34.0395,-118.2656
34.0474,-118.2531
34.0515,-118.2424
34.0917,-118.2741
34.045,-118.264
34.0416,-118.262
